Flake number,Flake portion,Rock type,"Length (max then tech), do max on dorsal, flip and tech on ventral",Width at midpoint of length,Thickness at midpoint of length,Cortex,Exterior platform angle,Platform width perpendicular to thickness,Platform thickness at point of initiation,Profile mm,Termination Type,Edge profile (Tostevin),Soriano et al blade/flake type ,Platform morphology,Platform preparation,Nature of preparation toward the flaking surface ,Intensity of platform abrasion,Expression and location of the fracture initiation point,Cone,Photo,Twisted,Flake dorsal scar pattern
,complete,Chalcedony,,,,0%,,,,,Feather,Paralell,A1,Punctiform (D1),None (plain),None (A1);,None,Non-expressed,Hertzian cone present,yes,yes,Unidirectional-parallel A
,proximal,Agate,,,,1-9%,,,,,Hinge,Expanding,A2,Narrow linear (D2),Faceted (bulb negatives are present),short hinged removals (A2),Slight,Expressed and centered on the platform,Hertzian cone absent,no,no,Unidirectional-parallel B
,proximal but nearly complete,Chert,,,,11-40%,,,,,Plunge,Converging,A3,Lunate (D4),Absent (broken platform),small removals following scar ridges (A3),High,Expressed and lateralized on the platform,Eraillure scar,,NA,Unidirectional-convergent
,medial,CCS general,,,,41-60%,,,,,Step,Ovoid, B1,Quadrangular or wide trapezoidal (D5),"Residual faceting (ridges, but no bulb negatives)","Lateral, point of impact more prominent (A4)",Very high,Other,Sheared bulb,,,Bidirectional/opposed
,distal,Dyke material,,,,61-90%,,,,,Axial,Other, B2,Oval/triangular (D3),Dihedral,Other,Other,,Hinged bulb,,,Orthogonal/crossed
,lateral,Hornfels,,,,91-99%,,,,,Bipolar ,Broken, B3,Broken / fissured,Reduced to an edge,,,,crushed,,,Sub-centripetal
,,Quartz,,,,100%,,,,,Broken,, B4,Crushed,Cortical,,,,lipped,,,Centripetal
,,Tuff,,,,,,,,,,, B5,Missing,Other,,,,soriano double impact point and missing bulb,,,NA
,,Siltstone/mudstone,,,,,,,,,,, B6,Chapeau de gendarme,,,,,none,,,
,,Basaltic rock,,,,,,,,,,, B7,,,,,,,,,
,,Baked siltstone,,,,,,,,,,, B8,,,,,,,,,
,,Sandstone,,,,,,,,,,, B9,,,,,,,,,
,,Baked sandstone,,,,,,,,,,, B10,,,,,,,,,
,,NA,,,,,,,,,,, B11,,,,,,,,,
,,,,,,,,,,,,, B12,,,,,,,,,
,,,,,,,,,,,,, B13,,,,,,,,,
,,,,,,,,,,,,, B14,,,,,,,,,
,,,,,,,,,,,,,C1,,,,,,,,,
,,,,,,,,,,,,,C2,,,,,,,,,
,,,,,,,,,,,,,D1,,,,,,,,,
,,,,,,,,,,,,,D2,,,,,,,,,
,,,,,,,,,,,,,E1,,,,,,,,,
,,,,,,,,,,,,,Core maintenance flake,,,,,,,,,
,,,,,,,,,,,,,"Plunging, no cortex",,,,,,,,,
,,,,,,,,,,,,,Other,,,,,,,,,
