I 12/13,#,Level,Unit,Square,Bag,Flake portion,L(max),L(tech),W(mid length),T(mid length),T(bulb),P(w),P(t),EPA,EPA angle,Length Profile,MASS,Edge profile,Rock,P(morph),P(prep),P(prep on dorsal),P(abr),Cone,Cort,Dorsal scar pattern,Frac initiation point,Type,Termination,Twisted,Photo,Notes
,1,rfs,136,i12,1,proximal,15.21,15.21,13.27,2.81,1.43,7.84,1.57,1.16,31.8907918,0,0.65,Paralell,Chalcedony,Narrow linear (D2),Faceted (bulb negatives are present),short hinged removals (A2),Slight,Hertzian cone present,0,Unidirectional-parallel A,Expressed and lateralized on the platform,Other,Broken,no,,
,2,rfs,136,i12,1,proximal,10.28,10.28,11.41,2.82,2.42,2.98,1.98,2.2,56.90404061,0,0.55,Broken,CCS general,Lunate (D4),Faceted (bulb negatives are present),None (A1);,None,Hertzian cone present,61-90%,Unidirectional-parallel A,Expressed and centered on the platform,Other,Broken,no,,
,3,rfs,136,i12,1,proximal,14.52,14.52,10.82,2.53,2.86,5.91,0.77,2.15,55.80750931,0,,Other,Chert,Crushed,Other,small removals following scar ridges (A3),Slight,Eraillure scar,0,NA,Expressed and centered on the platform, B7,Broken,no,,
,4,rfs,136,i12,1,proximal,8.4,8.4,13.12,1.74,1.23,1.1,0.73,NA,#VALUE!,1,,Broken,Chert,Lunate (D4),None (plain),short hinged removals (A2),Slight,Hertzian cone present,11-40%,NA,Expressed and centered on the platform,Other,Bipolar ,no,,
,5,rfs,136,i12,1,proximal,6.73,6.63,9.93,1.22,1.06,0.91,0.59,NA,#VALUE!,0,,Paralell,Hornfels,Narrow linear (D2),None (plain),short hinged removals (A2),Other,Hertzian cone present,0,Sub-centripetal,Expressed and centered on the platform,Other,Broken,no,,
,6,rfs,130,i13,2,complete,35.74,35.74,25.51,4.06,4.9,9.09,4.03,3.25,77.35402839,2,,Converging,Chert,Quadrangular or wide trapezoidal (D5),Faceted (bulb negatives are present),short hinged removals (A2),Slight,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,no,,
,7,rfs,130,i13,2,complete,23.71,23.71,11.73,6.99,5.52,4.97,1,NA,#VALUE!,0,,Paralell,Chert,Crushed,None (plain),None (A1);,None,Sheared bulb,0,Unidirectional-parallel A,Other, B1,Feather,no,,bipolar
,8,rfs,130,i13,2,complete,24,23.45,8.97,1.53,2.12,2.74,0.59,NA,#VALUE!,2,,Paralell,Chert,Lunate (D4),Other,short hinged removals (A2),None,Hertzian cone present,0,Sub-centripetal,Expressed and centered on the platform, B3,Feather,yes,,
,9,rfs,131,i13,3,complete,18.45,18.45,12.18,4.55,3.48,7,2.32,3.53,82.01118566,2.5,,Paralell,Chalcedony,Narrow linear (D2),Cortical,Other,None,Hertzian cone present,41-60%,Unidirectional-parallel A,Expressed and lateralized on the platform, B6,Plunge,no,,
,10,rfs,131,i13,3,proximal,15.65,11.09,13.77,3.55,5.59,13.71,5.12,3.26,77.52583985,0,,Converging,Chert,Quadrangular or wide trapezoidal (D5),Cortical,None (A1);,None,Hertzian cone present,11-40%,Orthogonal/crossed,Expressed and centered on the platform, B6,Feather,no,,
